Modelo,Capacidad,Condición,Precio (USD),Colores Disponibles,Notas,Dolar, COSTO,VENTA,5%
iPhone 11,64 GB,CPO,390,Black,,1500,"$585.000,00","$614.250,00",
iPhone 11,64 GB,Nuevo,420,Black,,,"$630.000,00","$661.500,00",
iPhone 11 Pro,64 GB,CPO,440,"Gold, Gray, Silver",Incluye caja con cargador,,"$660.000,00","$693.000,00",
iPhone 11,128 GB,CPO,445,Black,,,"$667.500,00","$700.875,00",
iPhone 12,64 GB,Nuevo,440,Black,,,"$660.000,00","$693.000,00",
iPhone 12,256 GB,CPO,460,"Black, Purple",,,"$690.000,00","$724.500,00",
iPhone 13,128 GB,Nuevo,550,"Midnight, Starlight",,,"$825.000,00","$866.250,00",
iPhone 14,128 GB,Nuevo,630,Midnight,,,"$945.000,00","$992.250,00",
iPhone 14 Pro,256 GB,CPO,860,"Gold, Purple",,,"$1.290.000,00","$1.354.500,00",
iPhone 14 Pro Max,128 GB,CPO,860,Deep Purple,,,"$1.290.000,00","$1.354.500,00",
iPhone 15,128 GB,Nuevo,740,"Black, Blue, Green",,,"$1.110.000,00","$1.165.500,00",
iPhone 15,256 GB,Nuevo,900,Black,,,"$1.350.000,00","$1.417.500,00",
iPhone 15 Pro Max,256 GB,CPO,1020,Black,,,"$1.530.000,00","$1.606.500,00",
iPhone 16,128 GB,Nuevo,630,Black,,,"$945.000,00","$992.250,00",
iPhone 16,256 GB,Nuevo,760,"Black, White",,,"$1.140.000,00","$1.197.000,00",
iPhone 16,512 GB,Nuevo,960,White,,,"$1.440.000,00","$1.512.000,00",
iPhone 16,128 GB,Nuevo,815,"Black, Teal, Ultramarine, White",,,"$1.222.500,00","$1.283.625,00",
iPhone 16,256 GB,Nuevo,970,"Black, Pink, Teal, Ultramarine",,,"$1.455.000,00","$1.527.750,00",
iPhone 16 Plus,128 GB,Nuevo,960,"Black, Ultramarine, White",,,"$1.440.000,00","$1.512.000,00",
iPhone 16 Plus,256 GB,Nuevo,1070,Teal,,,"$1.605.000,00","$1.685.250,00",
iPhone 16 Pro,128 GB,Nuevo,980,"Black, Desert, White",,,"$1.470.000,00","$1.543.500,00",
iPhone 16 Pro Max,256 GB,Nuevo,1160,"Black, Desert, Natural, White",,,"$1.740.000,00","$1.827.000,00",