Estado,Modelo,RAM,Almacenamiento,Notas,Precio,DOLAR,COSTO,VENTA,5%,Colores,5%
NUEVO,S24 ULTRA 5G,12GB,256GB,,$900,1500,$1.350.000,$1.417.500,,Black,
NUEVO,S24 ULTRA 5G,12GB,512GB,,$950,1500,$1.425.000,$1.496.250,,"Gray, Violet",
NUEVO,S25 5G,12GB,128GB,,$750,1500,$1.125.000,$1.181.250,,"Navy, Silver Shadow",
NUEVO,S25 5G,12GB,256GB,,$780,1500,$1.170.000,$1.228.500,,Mint,
NUEVO,S25 PLUS 5G,12GB,256GB,,$975,1500,$1.462.500,$1.535.625,,Navy,
NUEVO,S25 ULTRA 5G,12GB,256GB,,$1.010,1500,$1.515.000,$1.590.750,,"Black, Gray, Silver Blue, White Silver",
NUEVO,S25 ULTRA 5G,12GB,512GB,,$1.110,1500,$1.665.000,$1.748.250,,"Black, Gray, Silver Blue",
NUEVO,Z FOLD 5 5G,12GB,512GB,,$1.230,1500,$1.845.000,$1.937.250,,Black,
NUEVO,Z FOLD 6 5G,12GB,256GB,,$1.400,1500,$2.100.000,$2.205.000,,Silver Shadow,
NUEVO,Z FLIP 7 FE 5G,8GB,256GB,,$880,1500,$1.320.000,$1.386.000,,Black,
NUEVO,A07,4GB,64GB,,$165,1500,$247.500,$259.875,,"Black, Green, Light Violet",
NUEVO,A16,4GB,128GB,,$175,1500,$262.500,$275.625,,"Black, Gray, Green",
NUEVO,A16,6GB,128GB,caja abollada,$182,1500,$273.000,$286.650,,"Black, Gray",
NUEVO,A16,6GB,128GB,,$185,1500,$277.500,$291.375,,"Black, Green",
NUEVO,A16,8GB,256GB,,$215,1500,$322.500,$338.625,,"Gray, Green",
NUEVO,A16 5G,6GB,128GB,caja abollada,$197,1500,$295.500,$310.275,,"Black, Green",
NUEVO,A16 5G,6GB,128GB,,$200,1500,$300.000,$315.000,,"Gray, Green",
NUEVO,A16 5G,8GB,256GB,caja abollada,$247,1500,$370.500,$389.025,,Green,
NUEVO,A16 5G,8GB,256GB,,$250,1500,$375.000,$393.750,,"Gray, Green",
NUEVO,A17 5G,6GB,128GB,,$270,1500,$405.000,$425.250,,"Black, Blue, Gray",
NUEVO,A17 5G,8GB,256GB,,$295,1500,$442.500,$464.625,,"Black, Blue, Gray",
NUEVO,A26 5G,6GB,128GB,,$260,1500,$390.000,$409.500,,Black,
NUEVO,A26 5G,8GB,256GB,,$277,1500,$415.500,$436.275,,"Black, Mint Green, White",
NUEVO,A36 5G,6GB,128GB,,$302,1500,$453.000,$475.650,,,
NUEVO,A36 5G,8GB,128GB,,$315,1500,$472.500,$496.125,,"Black, Lavanda, Lime, White",
NUEVO,A36 5G,8GB,256GB,,$335,1500,$502.500,$527.625,,"Lavender, Lime, White",
NUEVO,A56 5G,8GB,128GB,,$388,1500,$582.000,$611.100,,"Gray, Olive",
NUEVO,A56 5G,8GB,256GB,,$412,1500,$618.000,$648.900,,Graphite,
NUEVO,A56 5G,12GB,256GB,caja abollada,$435,1500,$652.500,$685.125,,"Gray, Light Gray",
NUEVO,A56 5G,12GB,256GB,,$440,1500,$660.000,$693.000,,"Graphite, Gray, Olive, Pink",
NUEVO,M55 5G,8GB,256GB,,$292,1500,$438.000,$459.900,,Green,
NUEVO,S24 FE 5G,8GB,256GB,,$515,1500,$772.500,$811.125,,"Blue, Gray, Mint",
NUEVO,S24 FE 5G,8GB,512GB,caja abollada,$560,1500,$840.000,$882.000,,Gray,
NUEVO,S24 FE 5G,8GB,512GB,,$565,1500,$847.500,$889.875,,"Blue, Blue, Gray",
NUEVO,S24 ULTRA 5G,12GB,256GB,"abierto y caja rota, sin uso",$890,1500,$1.335.000,$1.401.750,,Black,
NUEVO,S24 ULTRA 5G,12GB,256GB,,$900,1500,$1.350.000,$1.417.500,,Black4,4s
NUEVO,S24 ULTRA 5G,12GB,256GB,,$900,1500,$1.350.000,$1.417.500,,Black,
NUEVO,S24 ULTRA 5G,12GB,512GB,,$950,1500,$1.425.000,$1.496.250,,"Gray, Violet",
NUEVO,S25 5G,12GB,128GB,,$750,1500,$1.125.000,$1.181.250,,"Navy, Silver Shadow",
NUEVO,S25 5G,12GB,256GB,,$780,1500,$1.170.000,$1.228.500,,Mint,
NUEVO,S25 PLUS 5G,12GB,256GB,,$975,1500,$1.462.500,$1.535.625,,Navy,
NUEVO,S25 ULTRA 5G,12GB,256GB,,$1.010,1500,$1.515.000,$1.590.750,,"Black, Gray, Silver Blue, White Silver",
NUEVO,S25 ULTRA 5G,12GB,512GB,,$1.110,1500,$1.665.000,$1.748.250,,"Black, Gray, Silver Blue",
NUEVO,Z FOLD 5 5G,12GB,512GB,,$1.230,1500,$1.845.000,$1.937.250,,Black,
NUEVO,Z FOLD 6 5G,12GB,256GB,,$1.400,1500,$2.100.000,$2.205.000,,Silver Shadow,
NUEVO,Z FLIP 7 FE 5G,8GB,256GB,,$880,1500,$1.320.000,$1.386.000,,Black,